second,rate
429,1
430,1
431,1
432,1
433,0.99
434,0.99
435,0.99
436,1.01
437,1
438,1
439,1
440,1
441,1
442,1.01
443,1
444,1
445,1
446,1
447,1.01
448,1.01
449,1
450,1
451,1
452,0.99
453,1
454,1
455,1
456,1.01
457,1
458,1
459,0.98
460,1
461,0.99
462,1
463,1
464,1
465,1
466,0.99
467,1.01
468,1
469,1
470,1
471,1
472,1.01
473,1
474,1.01
475,1.01
476,1
477,1.01
478,1
479,1.01
480,1
481,1.01
482,1
483,1
484,1.01
485,1.01
486,1.01
487,1
488,1
489,1
490,1
491,1.01
492,1.01
493,1
494,1.01
495,1
496,1
497,1.01
498,1
499,1
500,1.01
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0.98
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1.01
522,0.99
523,1
524,1.01
525,1
526,1
527,1
528,1.01
529,1.01
530,0.99
531,1
532,1
533,1
534,1
535,1
536,0.99
537,1
538,1.01
539,1
540,1
541,1
542,1.01
543,1
544,1
545,1.01
546,1.01
547,1
548,1
549,1
550,1
551,1
552,1.01
553,1
554,1.01
555,1.01
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1.01
567,1
568,1
569,1
570,1.01
571,1
572,1
573,1
574,1
575,1
576,1.01
577,1
578,1.01
579,1.01
580,1
581,0.99
582,1
583,1
584,1
585,1
586,1.01
587,1
588,1
589,1
590,1
591,1
592,1.01
593,0.99
594,1
595,1.01
596,1
597,1
598,1
599,1
600,0.99
601,1
602,1
603,1
604,1.01
605,1.01
606,1
607,1
608,1
609,1
610,0.99
611,1.01
612,1
613,1.01
614,1.01
615,1
616,1
617,1
618,1
619,1
620,1
621,1.01
622,1
623,1
624,1
625,1.01
626,1
627,1.01
628,1.01
629,1.01
630,1
631,1
632,1.01
633,1
634,1
635,1.01
636,1
637,1
638,1.01
639,1.01
640,1.01
641,1
642,0.99
643,1
644,1
645,1
646,0.99
647,1
648,1
649,1
650,1
651,0.99
652,0.99
653,1
654,1
655,1
656,1.01
657,1
658,0.99
659,1
660,0.99
661,1
662,1
663,1
664,0.99
665,1
666,1.01
667,0.99
668,1
669,0.98
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,0.99
685,1.01
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1.01
694,1
695,1
696,1
697,1
698,0.99
699,1
700,1
701,1
702,0.99
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,0.99
713,1
714,1
715,1
716,1
717,1
718,1
719,1
