second,rate
288,0.98
289,0.98
290,1
291,1.01
292,1.01
293,0.99
294,0.97
295,0.98
296,1
297,1.02
298,0.99
299,0.99
300,0.99
301,0.99
302,1.03
303,1.02
304,1
305,0.99
306,0.99
307,1.01
308,1.03
309,0.99
310,1.02
311,0.97
312,0.99
313,1.01
314,1.04
315,1
316,0.97
317,0.99
318,1.03
319,1
320,0.98
321,0.99
322,1.01
323,1.01
324,1.03
325,0.98
326,0.98
327,1
328,0.99
329,1.01
330,1.02
331,0.99
332,0.98
333,0.97
334,1
335,1.01
336,1
337,1
338,0.98
339,0.98
340,1.01
341,1.03
342,1
343,0.98
344,0.99
345,1.02
346,1.02
347,0.99
348,1
349,0.99
350,1.02
351,1.03
352,0.99
353,0.98
354,0.99
355,1.01
356,1.01
357,1
358,0.99
359,0.98
360,0.99
361,0.99
362,1.01
363,1.02
364,0.97
365,0.98
366,0.99
367,1
368,1.02
369,1
370,0.98
371,0.98
372,1
373,1.01
374,1.02
375,1.01
376,0.99
377,0.99
378,0.98
379,1
380,1.01
381,1.03
382,1
383,0.99
384,0.99
385,0.98
386,1
387,1.01
388,1.01
389,1.01
390,0.99
391,0.98
392,0.99
393,1.01
394,1.02
395,1.01
396,0.99
397,0.99
398,0.98
399,1.01
400,1
401,1.01
402,1.03
403,1.01
404,0.98
405,0.98
406,0.98
407,0.99
408,1
409,1.02
410,1.02
411,1.02
412,1
413,0.99
414,0.98
415,1.01
416,1
417,1.02
418,1.01
419,0.98
420,0.99
421,0.98
422,1
423,1.02
424,1.03
425,1.03
426,0.98
427,0.99
428,0.98
429,0.99
430,1
431,1.02
432,1.01
433,1.01
434,0.98
435,0.99
436,0.97
437,1
438,1.01
439,1.02
440,0.99
441,1
442,0.97
443,0.99
444,0.99
445,0.98
446,1.02
447,1
448,1
449,0.98
450,0.99
451,0.99
452,0.99
453,1.01
454,1.02
455,1.01
456,0.97
457,0.97
458,0.97
459,0.99
460,0.99
461,1.02
462,1
463,0.98
464,0.99
465,0.99
466,1
467,1.02
468,1.02
469,1
470,0.99
471,0.98
472,0.98
473,0.99
474,0.99
475,1.02
476,1.02
477,1
478,0.99
479,0.98
480,0.98
481,0.97
482,0.98
483,1
484,0.99
485,1
486,0.97
487,0.98
488,0.99
489,0.99
490,1
491,1
492,0.99
493,0.99
494,0.97
495,0.98
496,0.98
497,1
498,1.01
499,1.01
500,0.99
501,0.97
502,0.97
503,0.98
504,0.99
505,0.99
506,1.01
507,1.01
508,0.98
509,0.95
510,0.99
511,0.99
512,1
513,0.99
514,0.96
515,0.97
516,0.97
517,0.99
518,0.99
519,0.99
520,0.95
521,0.95
522,0.95
523,0.98
524,0.99
525,0.99
526,0.96
527,0.96
528,0.96
529,0.98
530,0.97
531,1
532,1
533,0.98
534,0.95
535,0.99
536,0.98
537,1.01
538,1.01
539,0.98
540,0.99
541,0.99
542,0.97
543,0.99
544,1
545,1.02
546,1.01
547,0.97
548,0.96
549,0.99
550,0.99
551,1
552,1.02
553,1.02
554,0.99
555,0.98
556,0.97
557,0.98
558,0.99
559,1.04
560,1.02
561,1.02
562,0.98
563,0.98
564,0.97
565,1
566,1.03
567,0.99
568,0.99
569,0.99
570,1.01
571,0.99
572,1.02
573,0.98
574,0.99
575,1.01
576,0.98
577,0.99
578,1.01
579,1.01
580,0.99
581,0.98
582,0.99
583,1.01
584,1.03
585,1.04
586,1
587,0.99
588,0.99
589,0.99
590,1
591,1.04
592,1.01
593,0.97
594,0.97
595,1.02
596,1.03
597,1.01
598,0.97
599,0.97
600,0.98
601,0.98
602,1
603,0.99
604,0.99
605,0.97
606,0.97
607,0.99
608,1
609,1.01
610,1
611,1
612,0.99
613,1.01
614,1
615,1.03
616,1.01
617,0.98
618,0.99
619,1
620,1.02
621,1.03
622,1.01
623,1
624,0.99
625,1.01
626,1.03
627,1.02
628,0.99
629,0.96
630,0.99
631,1.02
632,1.02
633,1.01
634,0.96
635,0.99
636,0.99
637,1.03
638,1.03
639,1.01
640,0.97
641,0.97
642,1.02
643,1.01
644,1
645,1
646,0.97
647,1
648,1.01
649,1.01
650,1.01
651,0.96
652,0.99
653,0.96
654,1
655,1
656,1.01
657,0.97
658,1.01
659,1.01
660,1.03
661,1.01
662,0.99
663,0.99
664,0.99
665,0.99
666,1.01
667,1
668,1.03
669,0.97
670,0.99
671,0.97
672,1.04
673,1.04
674,1.02
675,0.99
676,0.96
677,0.97
678,1.04
679,1.02
680,1.03
681,1.02
682,1.01
683,0.97
684,1
685,0.98
686,1.02
687,1.02
688,1
689,0.97
690,1.01
691,0.95
692,0.98
693,0.99
694,1.01
695,1.01
696,0.98
697,1.01
698,1.02
699,1.01
700,0.95
701,0.95
702,1
703,1.02
704,0.98
705,0.96
706,0.99
707,1.02
708,1.02
709,1.01
710,1.01
711,1.01
712,1.04
713,0.97
714,1
715,1.02
716,1.01
717,1.01
718,1.04
719,1
